Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed,,
03/01/2020,Albany,0,0,0,0,,
03/02/2020,Albany,0,0,0,0,,
03/03/2020,Albany,0,0,0,0,,
03/04/2020,Albany,0,0,0,0,,
03/05/2020,Albany,0,0,3,3,,
03/06/2020,Albany,0,0,0,3,,
03/07/2020,Albany,0,0,5,8,,
03/08/2020,Albany,0,0,2,10,,
03/09/2020,Albany,0,0,3,13,,
03/10/2020,Albany,0,0,2,15,,
03/11/2020,Albany,0,0,13,28,,
03/12/2020,Albany,1,1,11,39,,
03/13/2020,Albany,2,3,26,65,,
03/14/2020,Albany,3,6,108,173,,
03/15/2020,Albany,6,12,108,281,,
03/16/2020,Albany,11,23,140,421,,
03/17/2020,Albany,13,36,267,688,,
03/18/2020,Albany,7,43,331,"1,019",,
03/19/2020,Albany,18,61,450,"1,469",,
03/20/2020,Albany,27,88,499,"1,968",,
03/21/2020,Albany,35,123,577,"2,545",,
03/22/2020,Albany,4,127,197,"2,742",,
03/23/2020,Albany,19,146,144,"2,886",,
03/24/2020,Albany,6,152,198,"3,084",,
03/25/2020,Albany,19,171,93,"3,177",,
03/26/2020,Albany,16,187,112,"3,289",,
03/27/2020,Albany,8,195,101,"3,390",,
03/28/2020,Albany,10,205,73,"3,463",,
03/29/2020,Albany,12,217,61,"3,524",,
03/30/2020,Albany,9,226,72,"3,596",,
03/31/2020,Albany,14,240,108,"3,704",,
04/01/2020,Albany,13,253,106,"3,810",,
04/02/2020,Albany,14,267,105,"3,915",,
04/03/2020,Albany,26,293,123,"4,038",,
04/04/2020,Albany,12,305,117,"4,155",,
04/05/2020,Albany,14,319,89,"4,244",,
04/06/2020,Albany,14,333,86,"4,330",,
04/07/2020,Albany,9,342,74,"4,404",,
04/08/2020,Albany,37,379,229,"4,633",,
04/09/2020,Albany,47,426,332,"4,965",,
04/10/2020,Albany,20,446,159,"5,124",,
04/11/2020,Albany,32,478,223,"5,347",,
04/12/2020,Albany,21,499,193,"5,540",,
04/13/2020,Albany,36,535,216,"5,756",,
04/14/2020,Albany,13,548,106,"5,862",,
04/15/2020,Albany,33,581,301,"6,163",,
04/16/2020,Albany,38,619,273,"6,436",,
04/17/2020,Albany,29,648,291,"6,727",,
04/18/2020,Albany,34,682,305,"7,032",,
04/19/2020,Albany,5,687,103,"7,135",,
04/20/2020,Albany,17,704,164,"7,299",,
04/21/2020,Albany,33,737,236,"7,535",,
04/22/2020,Albany,21,758,178,"7,713",,
04/23/2020,Albany,47,805,319,"8,032",,
04/24/2020,Albany,94,899,626,"8,658",,
04/25/2020,Albany,49,948,402,"9,060",,
04/26/2020,Albany,31,979,263,"9,323",,
04/27/2020,Albany,30,"1,009",197,"9,520",,
04/28/2020,Albany,58,"1,067",351,"9,871",,
04/29/2020,Albany,98,"1,165",439,"10,310",,
04/30/2020,Albany,39,"1,204",378,"10,688",,
05/01/2020,Albany,34,"1,238",434,"11,122",,
05/02/2020,Albany,20,"1,258",441,"11,563",,
